JOBNAME,PROGNAME,VARIANT,PDEST,PRCOP,PLIST,PRTXT,PRBER
YFCFVSA2,Z_CARRYFORWARD_VARIANT_UPDATE,CF VND SUM2 AF,MFPR,001,YFCFVSA2_001,,COP
YFCFVSB1,Z_CARRYFORWARD_VARIANT_UPDATE,CF VND SUM1 B4,MFPR,001,YFCFVSB1_001,,COP
YFCFVSB2,Z_CARRYFORWARD_VARIANT_UPDATE,CF VND SUM2 B4,MFPR,001,YFCFVSB2_001,,COP
YFCHKFX1,ZBDCSRCH,BD YFCHKFX1 1,MFPR,001,YFCHKFX1_001,,
YFCHKFX2,ZBDCSRCH,BD YFCHKFX2 1,MFPR,001,YFCHKFX2_001,,
YFCHKFX3,ZBDCSRCH,BD YFCHKFX3,MFPR,001,YFCHKFX3_001,,
YFCHKSNC,RFCHKN10,ARVEST,SJ41,001,YFCHKSNC_001,Outstanding checks - Arvest Bank,COP
YFCHKSNU,RFCHKN10,DEUTSCHEBANK,SJ41,001,YFCHKSNU_001,,COP
YFCKCYCL,ZCHECK_ASSESSMENT,NOTIFICATION,MFPR,001,YFCKCYCL_001,,
YFCKFXQL,ZBDCSRCH,APLNG FX,MFPR,001,YFCKFXQL_001,,COP
YFCKJVPT,ZFIND_JV_NO_EDI,CANADA,MFPR,001,YFCKJVPT_001,,COP
